Latitude,Longitude
30.218836,-97.806156
30.183275,-97.786233
30.195769,-97.739084
30.370324,-97.696376
30.377427,-97.666296
30.225325,-97.769329
30.330048,-97.721903
30.410332,-97.717048
30.295365,-97.764785
30.255766,-97.729886
30.426843,-97.784889
30.300989,-97.642928
30.275542,-97.715149
30.189876,-97.828222
30.343473,-97.764725
30.226897,-97.726456
30.230203,-97.700384
30.227318,-97.773388
30.278568,-97.743937
30.170889,-97.792501
30.355054,-97.752137
30.23375,-97.693938
30.363081,-97.756427
30.267899,-97.680994
30.456125,-97.793444
30.228627,-97.746432
30.319038,-97.670847
30.319038,-97.670847
30.303342,-97.729336
30.320782,-97.726228
30.320782,-97.726228
30.285668,-97.702302
30.267068,-97.739335
30.343245,-97.76051
30.156647,-97.790886
30.193861,-97.755596
30.264878,-97.657558
30.365339,-97.730114
30.163382,-97.79163
30.248413,-97.769947
30.329753,-97.701271
30.229669,-97.694768
30.159961,-97.800316
30.279018,-97.756624
30.198421,-97.830325
30.229669,-97.694768
30.229752,-97.694706
30.195162,-97.73953
30.285369,-97.772122
30.187613,-97.751893
30.31646,-97.743211
30.222316,-97.742147
30.201737,-97.78824
30.268695,-97.733968
30.405086,-97.853305
30.371033,-97.687905
30.323148,-97.738304
30.355673,-97.683941
30.253502,-97.723269
30.258749,-97.782787
30.194421,-97.829034
30.26185,-97.766304
30.226272,-97.728512
30.230771,-97.762554
30.22703,-97.707935
30.260567,-97.734617
30.281006,-97.684439
30.280198,-97.696663
30.414464,-97.689799
30.328828,-97.715845
30.346841,-97.724463
30.359633,-97.682289
30.257132,-97.72461
30.25722,-97.724569
30.276599,-97.755234
30.264331,-97.730326
30.24799,-97.750255
30.353083,-97.701822
30.375273,-97.690138
30.283266,-97.825297
30.264877,-97.742506
30.206591,-97.635998
30.221037,-97.690879
30.388492,-97.690607
30.381894,-97.747388
30.365736,-97.763475
30.222797,-97.664369
30.402116,-97.767348
30.226728,-97.722292
30.175788,-97.780798
30.201882,-97.638247
30.426064,-97.748897
30.188225,-97.764379
30.173997,-97.80253
30.298433,-97.676845
30.278372,-97.671971
30.259549,-97.7316
30.403679,-97.71047
30.298534,-97.644645
30.17287,-97.616589
30.254392,-97.716751
30.281908,-97.742533
30.268417,-97.744128
30.229669,-97.694768
30.252663,-97.726843
30.457409,-97.801728
30.41864,-97.722209
30.202586,-97.79238
30.253576,-97.726456
30.18025,-97.842952
30.312046,-97.72136
30.359425,-97.70985
30.223867,-97.780361
30.310168,-97.748523
30.306468,-97.680057
30.343603,-97.705222
30.340072,-97.676723
30.249589,-97.776974
30.270575,-97.744488
30.266088,-97.753819
30.22584,-97.868674
30.329055,-97.727922
30.203273,-97.827272
30.213031,-97.689653
30.399232,-97.733692
30.290146,-97.749159
30.192787,-97.803094
30.2882,-97.643552
30.21543,-97.797687
30.330138,-97.69827
30.395731,-97.692685
30.283234,-97.692808
30.319208,-97.754304
30.366153,-97.738205
30.191973,-97.794197
30.285369,-97.746513
30.171528,-97.782699
30.293025,-97.716061
30.238496,-97.773675
30.240842,-97.78614
